layer_1_neurons,layer_2_neurons,epochs,learning_rate,batch_size,elapsed_time,val_rmse,val_mape,val_R2_score,val_R,test_rmse,test_mape,test_R2_score,test_R
10,5,10,0.0001,4098,16.712275505065918,535200.4658891844,0.7436651587486267,-0.42593657970428467,0.020649364281138203,857951.6795344596,1.1395723819732666,-1.9586710929870605,0.011824623692272048
10,5,25,0.0001,4098,24.347493886947632,253657.04645445984,0.31244295835494995,0.6796969175338745,0.8327666715019076,327180.8197801332,0.3754172921180725,0.5697243809700012,0.7589046572559826
10,5,50,0.0001,4098,48.54669713973999,226750.54586042344,0.2184094488620758,0.744044840335846,0.8625887264158169,310574.3081711686,0.2392939180135727,0.6122943758964539,0.7867013143147209
10,5,75,0.0001,4098,69.19245076179504,261628.6888244483,0.2844739556312561,0.6592483520507812,0.8248314132603718,517974.21724251873,0.6147482991218567,-0.07841861248016357,0.5327866928884312
10,5,100,0.0001,4098,92.57605147361755,226005.56793141182,0.21785958111286163,0.7457239031791687,0.8637879787171215,302962.64271358604,0.2537698745727539,0.6310655474662781,0.7950440553927797
10,5,125,0.0001,4098,114.14346098899841,224450.24464232603,0.20094658434391022,0.7492116689682007,0.8658750611888891,296120.39929731283,0.2215016931295395,0.6475417613983154,0.8051821591228452
10,5,250,0.0001,4098,235.762633562088,227305.7826981091,0.19349613785743713,0.7427898049354553,0.8628228497328744,291196.9898745521,0.20881867408752441,0.6591644883155823,0.8127033189665859
10,5,500,0.0001,4098,453.0085093975067,222656.84621857016,0.1950448900461197,0.7532033324241638,0.8683021308678356,291074.6174024798,0.21213288605213165,0.659450888633728,0.8123184482038732
25,10,10,0.0001,4098,17.774331092834473,761543.0755196977,1.9029206037521362,-1.8870623111724854,0.2005709673984873,901779.2134219995,2.155812978744507,-2.2686731815338135,0.17831942977516682
25,10,25,0.0001,4098,24.995776891708374,244999.3144153673,0.2784702777862549,0.7011887431144714,0.8391121951078769,351718.31056116486,0.408060759305954,0.5027657747268677,0.7305689468997653
25,10,50,0.0001,4098,46.58092737197876,225030.86223893825,0.2138981819152832,0.7479124665260315,0.8648378636354505,299710.18918949016,0.24375273287296295,0.6389443874359131,0.8004173070571509
25,10,75,0.0001,4098,70.94409108161926,215743.63927587762,0.20183758437633514,0.7682908177375793,0.8782363281127336,294903.6943274872,0.22851796448230743,0.6504321098327637,0.8095641469770373
25,10,100,0.0001,4098,91.54558300971985,210359.89032132528,0.19345535337924957,0.7797108888626099,0.8830266671511311,286285.39919458,0.22289077937602997,0.6705652475357056,0.8204540083987572
25,10,125,0.0001,4098,114.67970633506775,215984.17482769425,0.2007828652858734,0.7677738666534424,0.8776961064815584,294811.6495934311,0.23713840544223785,0.6506503224372864,0.8091492751937963
25,10,250,0.0001,4098,228.38470244407654,206084.1341200239,0.1836758404970169,0.7885749936103821,0.8888465700240803,295612.9863453228,0.2730289399623871,0.6487485766410828,0.8056154232585259
25,10,500,0.0001,4098,453.7669720649719,200910.20019899437,0.1707049012184143,0.7990577816963196,0.8945219196338984,276199.2648795431,0.1988781988620758,0.6933690309524536,0.8330717732276861
50,25,10,0.0001,4098,21.54749298095703,404173.79802258336,0.8406991362571716,0.18678849935531616,0.6332738931406218,610089.7879099436,1.3431817293167114,-0.49609291553497314,0.4942112804456201
50,25,25,0.0001,4098,25.573578119277954,229811.5329394937,0.2535586357116699,0.7370877265930176,0.8587570192707014,312077.7027344312,0.3332900106906891,0.6085317730903625,0.7842031290328638
50,25,50,0.0001,4098,48.81789231300354,220606.96025284423,0.25693100690841675,0.7577266693115234,0.8709474889414923,318737.55453664385,0.40644657611846924,0.591645359992981,0.7703883481059951
50,25,75,0.0001,4098,71.31731629371643,209550.71909206134,0.20293793082237244,0.7814023494720459,0.8845569616740386,283605.88857074175,0.2353496551513672,0.6767030954360962,0.8230692956363866
50,25,100,0.0001,4098,95.23786783218384,204903.76371360288,0.21368128061294556,0.7909899950027466,0.8904166992394742,291243.2214078123,0.3106074929237366,0.6590563058853149,0.8152996232960759
50,25,125,0.0001,4098,117.93301033973694,204952.86295146012,0.17875884473323822,0.7908897995948792,0.8901147819482913,280537.7492174627,0.2155674546957016,0.6836603283882141,0.8270240761128006
50,25,250,0.0001,4098,244.41353797912598,201342.25046919487,0.1823098212480545,0.7981926202774048,0.8935988235273726,282067.72792363184,0.2694849669933319,0.680200457572937,0.8249564809576607
50,25,500,0.0001,4098,466.14723014831543,200515.42161140623,0.22221527993679047,0.7998467087745667,0.8964162583174374,280254.80885793915,0.26303631067276,0.6842980980873108,0.8294998742331728
75,50,10,0.0001,4098,24.592349767684937,302859.6041732869,0.5850377082824707,0.5433852672576904,0.761614600875352,453360.02682195086,0.9354256987571716,0.17385268211364746,0.6251445385752594
75,50,25,0.0001,4098,26.56686019897461,240489.82548124567,0.35954198241233826,0.7120873928070068,0.846829991902245,359573.3820626883,0.5806541442871094,0.4803078770637512,0.7269530562681247
75,50,50,0.0001,4098,52.06669306755066,220332.7136491538,0.23785489797592163,0.7583286166191101,0.8719129758166747,304425.14776542364,0.3365459442138672,0.6274950504302979,0.7925838360984836
75,50,75,0.0001,4098,73.83006834983826,213283.80971841252,0.24968326091766357,0.773544430732727,0.8809769393348774,294744.0632955989,0.31296613812446594,0.6508104801177979,0.8085584695499929
75,50,100,0.0001,4098,96.49850416183472,206775.20501259333,0.19659894704818726,0.7871546745300293,0.8877810910584859,289495.5232538148,0.2843059003353119,0.6631358861923218,0.8157958005041542
75,50,125,0.0001,4098,127.22349667549133,206369.24794164463,0.23734216392040253,0.787989616394043,0.888901094326011,291316.766039993,0.33086341619491577,0.6588840484619141,0.8156051642278037
75,50,250,0.0001,4098,248.12057280540466,200452.81220277256,0.18393474817276,0.7999716401100159,0.8949643344289436,284992.998875411,0.27315783500671387,0.6735328435897827,0.8218277420116695
75,50,500,0.0001,4098,474.19355845451355,199505.688019164,0.17567341029644012,0.8018574118614197,0.8960154069267916,288826.8734311265,0.2399383783340454,0.6646901965141296,0.8164334888513944
100,75,10,0.0001,4098,28.04066514968872,270306.89237235516,0.47369107604026794,0.6362680196762085,0.8039317956937698,401003.26534331363,0.7554901242256165,0.35365134477615356,0.6672391201245789
100,75,25,0.0001,4098,26.88063097000122,235664.6338507329,0.3340994715690613,0.7235249280929565,0.8508846604385513,345448.20370064164,0.5344856977462769,0.5203362107276917,0.7375988149082678
100,75,50,0.0001,4098,51.16137957572937,224546.49677962024,0.25347283482551575,0.7489964962005615,0.8667543898881616,318619.35760402255,0.39343562722206116,0.5919481515884399,0.7745834252094927
100,75,75,0.0001,4098,75.49412798881531,211428.60839536355,0.24560320377349854,0.7774668335914612,0.8818579420409517,315181.26726060355,0.4388524293899536,0.6007068157196045,0.7792317874093302
100,75,100,0.0001,4098,98.84492325782776,204783.41932881187,0.22908085584640503,0.7912354469299316,0.8901214742522692,294929.2078313031,0.34573960304260254,0.6503716707229614,0.8097072722190721
100,75,125,0.0001,4098,128.80177688598633,202042.63787626612,0.2122717648744583,0.7967861294746399,0.8928581472376103,285958.21658417163,0.2904355227947235,0.6713178157806396,0.8208383413686553
100,75,250,0.0001,4098,245.11858773231506,202420.64843291062,0.20027737319469452,0.7960250377655029,0.892302449182986,291954.3916162249,0.3235815465450287,0.6573891639709473,0.8140798076733017
100,75,500,0.0001,4098,506.6939055919647,197617.48133199147,0.2153705507516861,0.8055902719497681,0.8987528229872188,281345.0191064345,0.301765501499176,0.6818370819091797,0.8311053764558429
125,100,10,0.0001,4098,28.93634557723999,268957.2416277353,0.4771038591861725,0.6398912072181702,0.8032704338992825,407514.20930318494,0.7590466737747192,0.3324918746948242,0.6501987533181504
125,100,25,0.0001,4098,28.97110867500305,229010.1993885862,0.3140507638454437,0.7389180660247803,0.8605413699631246,350573.4233851733,0.5543496608734131,0.5059976577758789,0.7244483280634411
125,100,50,0.0001,4098,50.87281537055969,211213.5559285909,0.2246476411819458,0.7779192924499512,0.8824600826816492,297338.35207722534,0.3215535581111908,0.6446363925933838,0.8049704189830948
125,100,75,0.0001,4098,76.12498331069946,210414.58808742327,0.27305901050567627,0.7795963287353516,0.8846627670668082,312838.8215295538,0.46706122159957886,0.6066199541091919,0.7934105259900096
125,100,100,0.0001,4098,99.8748300075531,207025.85423081822,0.23252548277378082,0.7866383194923401,0.8874855961430942,291753.2923824511,0.3289833068847656,0.6578609943389893,0.8115313586488668
125,100,125,0.0001,4098,123.93351984024048,204357.47189667422,0.21149608492851257,0.7921029925346375,0.8900413591707976,292483.90719490877,0.330385684967041,0.6561452150344849,0.812711748189921
125,100,250,0.0001,4098,253.01985025405884,200272.18854349197,0.19128179550170898,0.8003319501876831,0.8950438488479912,284202.44728010346,0.2920243442058563,0.6753416061401367,0.8220851050069615
125,100,500,0.0001,4098,486.90375328063965,197918.2383106721,0.17880073189735413,0.8049980998039246,0.8986922769690175,278596.2269378392,0.242216095328331,0.6880237460136414,0.829945042280654
200,125,10,0.0001,4098,31.4394690990448,252915.38430075778,0.41944268345832825,0.6815673112869263,0.825825626298091,397234.8997356602,0.6830549240112305,0.36574214696884155,0.6691632317955533
200,125,25,0.0001,4098,27.946677684783936,229807.5226619007,0.34280574321746826,0.737096905708313,0.8626438312232098,326597.63741950126,0.48348814249038696,0.5712568759918213,0.7641520687833334
200,125,50,0.0001,4098,52.40665531158447,220356.3403580664,0.26312825083732605,0.7582768201828003,0.8720204162782024,318319.2468450502,0.42166242003440857,0.5927164554595947,0.7750197025309926
200,125,75,0.0001,4098,79.47553539276123,208115.64046942748,0.23230229318141937,0.784386157989502,0.8856583716987796,298352.0888078379,0.3589398264884949,0.6422091722488403,0.8037935959487751
200,125,100,0.0001,4098,102.5710723400116,204680.23498129955,0.20418071746826172,0.7914457321166992,0.8899810889086649,284962.7292401587,0.2872864603996277,0.6736022233963013,0.8213933982167667
200,125,125,0.0001,4098,127.08609199523926,207179.99100299238,0.28413406014442444,0.7863205075263977,0.8922597875913738,295003.1803489583,0.38391104340553284,0.6501962542533875,0.8158690132272504
200,125,250,0.0001,4098,254.85801935195923,199381.47942073256,0.19509707391262054,0.8021040558815002,0.8961158412947485,285167.9708242144,0.2967659533023834,0.6731318831443787,0.8225944026517318
200,125,500,0.0001,4098,505.7294306755066,203377.60049720324,0.26392310857772827,0.7940918803215027,0.8958443004525944,294509.7256390695,0.4034518897533417,0.6513655185699463,0.8270011109282516
350,200,10,0.0001,4098,30.308321475982666,231025.71036142277,0.34895870089530945,0.734302282333374,0.8611574925053336,342926.67979030154,0.5975764393806458,0.5273130536079407,0.7547754360434098
350,200,25,0.0001,4098,29.42285990715027,215987.1711745862,0.2660832107067108,0.7677674293518066,0.8763177179193926,312636.04992386914,0.44808587431907654,0.607129693031311,0.7859814162650994
350,200,50,0.0001,4098,57.64508271217346,208716.27562794427,0.2700677514076233,0.7831398248672485,0.8872355052022827,306675.56569117145,0.4345623850822449,0.6219673156738281,0.7996572993342764
350,200,75,0.0001,4098,84.79759526252747,205345.44366018934,0.23188740015029907,0.7900879383087158,0.8890645772740927,296400.36923053925,0.3797258734703064,0.6468749046325684,0.8108976994487448
350,200,100,0.0001,4098,110.74537014961243,204162.36738439335,0.2181827872991562,0.7924997806549072,0.8908085078618487,290186.9111314292,0.3232133388519287,0.6615248918533325,0.8133584466742866
350,200,125,0.0001,4098,138.44869995117188,202662.95014136157,0.1982085257768631,0.7955363988876343,0.8935833835084103,286299.14827676315,0.28939324617385864,0.6705335378646851,0.8207177036359217
350,200,250,0.0001,4098,272.3595185279846,199630.56824043757,0.2123861163854599,0.8016092777252197,0.8959263622445743,286868.4615638324,0.3521091341972351,0.6692219376564026,0.8261696285572633
350,200,500,0.0001,4098,541.6695597171783,199143.79287339086,0.19183261692523956,0.8025756478309631,0.8960758921504198,285492.6875140588,0.2963431179523468,0.6723871231079102,0.823412200253547
